term,desc,link,link_text,add_text
#-foliate,"leaf shape, 5-foliate means group of five leaves",https://florabase.dpaw.wa.gov.au/help/glossary,FlorabaseAustrailia_GlossaryofBotanicalTerms_,#first_letter
acuminate,"pointed, tapering to a point (like acute)",https://www.collinsdictionary.com/us/dictionary/english/acuminate,CollinsDictionary_US_English_,term
calyx,the outermost floral whorl usually consisting of sepals or a calyx tube and calyx lobes. adj. calycine,https://florabase.dpaw.wa.gov.au/help/glossary,Florabase_Austrailia_GlossaryofBotanicalTerms_,#first_letter
canes,long hollow stems of plants,https://www.collinsdictionary.com/us/dictionary/english/cane,CollinsDictionary_US_English_,term
coriaceous,leathery (leathery leaves),https://www.yourdictionary.com/coriaceous,YourDictionary_,term
dicots,"type angiosperm plant; two cotyledons, flowers and flower parts are arranged in multiples of four or five",https://biologydictionary.net/monocot-vs-dicot/,BiologyDictionary_20190424_MonocotVsDicot,NA
elongate,long and narrow,https://www.collinsdictionary.com/us/dictionary/english/elongate,CollinsDictionary_US_English_,term
glabrescent,becoming glabrous,https://www.collinsdictionary.com/us/dictionary/english/glabrescent,CollinsDictionary_US_English_,term
glabrous,Having no hairs or pubescence; smooth: glabrous leaves.,https://www.yourdictionary.com/glabrous,YourDictionary_,term
glandular,"a secretory structure, e.g. a nectary, extra-floral nectary or a gland tipped, hair-like or wart-like organ. adj. glandular. cf. eglandular",https://florabase.dpaw.wa.gov.au/help/glossary,Florabase_Austrailia_GlossaryofBotanicalTerms_,#first_letter
globose,"Uniformly convex, circular in any median section and in outline when viewed from any angle, like a globe or sphere.",http://biowikifarm.net/v-botknow-test/web/globose,BioWikiFarm_ ,term
hisbid,"with stout, rigid or bristly, erect hairs",https://florabase.dpaw.wa.gov.au/help/glossary,Florabase_Austrailia_GlossaryofBotanicalTerms_,#first_letter
lanceolate,"lance shaped, much longer than wide, the widest point below the middle",https://florabase.dpaw.wa.gov.au/help/glossary,Florabase_Austrailia_GlossaryofBotanicalTerms_,#first_letter
monocots,type angiosperm plant; one cotyledon; flowers or flower parts which are arranged in groups of three; long narrow leaves with parallel veins,https://biologydictionary.net/monocot-vs-dicot/,BiologyDictionary_20190424_MonocotVsDicot,NA
pedicels,"the stalk of an individual flower. In a single-flowered inflorescence, may refer to a peduncle, or both peduncle and pedicel when undifferentiated. Also used here for the stalk of a spikelet in Poaceae. adj. pedicellate",https://florabase.dpaw.wa.gov.au/help/glossary,Florabase_Austrailia_GlossaryofBotanicalTerms_,#first_letter
sepal,free segment of the calyx. adj. sepaline,https://florabase.dpaw.wa.gov.au/help/glossary,Florabase_Austrailia_GlossaryofBotanicalTerms_,#first_letter
subglobose,"Broadly ellipsoid with a length:width ratio closely approaching 1:1, almost globose, slightly longer than broad",http://biowikifarm.net/v-botknow-test/web/subglobose,BioWikiFarm_ ,term
terete,circular in cross-section,https://florabase.dpaw.wa.gov.au/help/glossary,Florabase_Austrailia_GlossaryofBotanicalTerms_,#first_letter
