Latin Name,Common Name,Community,Vegetation Type
Acalypha virginica,Virginia copperleaf,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Acer rubrum,red maple,Piedmont Acidic Oak Hickory Woodland,tree
Acer rubrum,red maple,Piedmont Prairie (acidic wet variant),tree
Achillea borealis,common yarrow,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Actaea racemosa,black cohash,Piedmont Acidic Oak Hickory Woodland,flowering forb
Actaea racemosa,black cohash,Piedmont Acidic Oak Hickory Woodland,flowering forb
Agalinis purpurea,purple false foxglove,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Agalinis tenuifolia,slender false foxglove,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Agrimonia parviflora,harvest-lice,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Agrimonia parviflora,harvest-lice,Piedmont Prairie (acidic wet variant),flowering forb
Agrostis perennans,autumn bentgrass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Agrostis perennans,autumn bentgrass,Piedmont Prairie (acidic wet variant),graminoid
Ambrosia artemisiifolia,common ragweed,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Amelanchier arborea,downy serviceberry,Piedmont Acidic Oak Hickory Woodland,tree
Amphicarpaea bracteata,hog-peanut,Piedmont Acidic Oak Hickory Woodland,flowering forb
Andropogon gyrans,Elliott's bluestem,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminiod
Andropogon virginicus,broomsedge,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Andropogon virginicus,broomsedge,Piedmont Prairie (acidic wet variant),graminoid
Angelica venenosa,hairy angelica,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Antennaria plantaginifolia,plantain-leaved pussytoes,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Apocynum cannabinum,hemp dogbane,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Asclepias tuberosa,butterfly-weed,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Asplenium platyneuron,ebony spleenwort,Piedmont Acidic Oak Hickory Woodland,fern
Athyrium asplenioides,southern lady fern,Piedmont Prairie (acidic wet variant),fern
Aureolaria virginica,downy yellow false foxglove,Piedmont Acidic Oak Hickory Woodland,flowering forb
Baptisia tinctoria,yellow wild indigo,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Boehmeria cylindrica,false nettle,Piedmont Prairie (acidic wet variant),flowering forb
Botrypus virginianus,rattlesnake fern,Piedmont Acidic Oak Hickory Woodland,fern
Cardamine concatenata,cut-leaf toothwort,Piedmont Acidic Oak Hickory Woodland,flowering forb
Carex albicans,white-tinged sedge,Piedmont Acidic Oak Hickory Woodland,graminoid
